=================================================================
           AEGIS AUDIT COMPLIANCE REPORT (v20.0)                 
=================================================================
Status    : FAILED

[FAILED] Module: rust_cve_audit
[FAILED] Module: asan_dynamic_memory_audit
[FAILED] Module: llvm_code_coverage
[PASSED] Module: apk_build
[FAILED] Module: native_rust_library
[FAILED] Module: android_manifest_opsec
[FAILED] Module: native_android_hardening
[FAILED] Module: rust_core_security
[FAILED] Module: flutter_main_hardening
[FAILED] Module: blind_viewer_zero_disk

